序号	日期	状态	标题	标签	阅读人数	点赞人数	分享人数	推荐人数	留言条数	划线人数	投票人数	赞赏金额	被转载次数	文章链接
11	05月01日	已发表	【RAG详解（一）】RAG的本质	原创、已修改	68	4	18	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/6Gp2pzFUUCOvbE3Q6golog
12	04月28日	已发表	【干货预警】一文带你全面梳理消息队列基础	原创、已修改	103	5	16	6	0	0		¥0.00	0	https://mp.weixin.qq.com/s/3mqExmpdQr3mE59FhrJcng
13	04月24日	已发表	【干货预警】一文带你全面理解缓存基础	原创、已修改	33	3	3	4	2	0		¥0.00	0	https://mp.weixin.qq.com/s/LjI2eFbGu3KIcUgGL3ePKA
14	04月20日	已发表	有了 Embedding 还不够：模型为什么最终走向了 Transformer？	原创、已修改	28	3	7	2	0	0		¥0.00	0	https://mp.weixin.qq.com/s/tfnJe3USBHfzEPb161pB4g
15	04月17日	已发表	从一句话到 Embedding：语言是怎么变成可计算对象的？	原创、已修改	121	8	19	5	4	15		¥0.00	0	https://mp.weixin.qq.com/s/kUJVSKa381xrqem1XYqtgg
16	04月01日	已发表	Harness Engineering: AI 编程的软件工程 面对未来我们应该怎么做？	原创、已修改	151	6	16	4	1	0		¥0.00	0	https://mp.weixin.qq.com/s/OCZp53-hJu_yQsvuAgNMKA
17	03月18日	已发表	Java工程师复健AOP：所有的一切都是为了不做重复的事情	原创、已修改	30	3	1	2	0	0		¥0.00	0	https://mp.weixin.qq.com/s/3vIFKJsX5TI7Sl03n0Rq4A
18	03月15日	已发表	Agent Skills：摒弃营销，看些真正本质的东西	原创、已修改	133	7	28	5	0	0		¥0.00	0	https://mp.weixin.qq.com/s/j84PVGPIXksSybPJsAqjuw
19	03月14日	已发表	OpenClaw：一只“龙虾”是怎么火起来的？	原创、已修改	50	7	9	6	0	0		¥0.00	0	https://mp.weixin.qq.com/s/r4bFiw_NBS_8ERAfEMkPag
20	03月06日	已发表	Java工程师复健Spring IoC：所有Java开发的第一个面试题	原创、已修改	29	6	5	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/rtvQn5R3vJfaVmGTiGvJqw
21	01月30日	已发表	读完Google这份Agent白皮书，我才理解了什么是Context Engineering	原创	396	17	69	11	4	0		¥0.00	0	https://mp.weixin.qq.com/s/oB4939y0q_qVI1lgns6liw
22	01月21日	已发表	读完Google这份Agent白皮书，我才理解了什么是MCP	原创	571	11	48	5	6	0		¥0.00	0	https://mp.weixin.qq.com/s/E8fbUyWwQPO2Zlg18GYLaA
23	01月08日	已发表	读完Google这份Agent白皮书，我才理解了什么是Agent	原创	17,315	260	3,802	210	78	25		¥5.00	1	https://mp.weixin.qq.com/s/0fWtCJkjliVhetigKE-4zw
24	2025年12月22日	已发表	【荒腔走板】从“内卷”到“造神，在属于工程师的时代，工程师的核心究竟是什么？	原创	101	6	6	3	0	0		¥1.00	0	https://mp.weixin.qq.com/s/hTKYhdEVG0Zetr3qanrFOQ
25	2025年11月06日	已发表	【三水儿和你探前沿】AI量化交易Agent：TradingAgents-CN	原创	181	7	33	4	4	0		¥0.00	0	https://mp.weixin.qq.com/s/8A62FrmlV5Le4b0b6EGXdA
26	2025年10月22日	已发表	【荒腔走板】《真三国无双：起源》推荐和游戏制作人访谈的思考	原创	41	7	4	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/9AdzFu1jZFP3jAdxAYOY4w
27	2025年10月17日	已发表	你的编程学习方法，已经彻底过时了！快来学AI编程学习方法	原创	319	9	38	6	1	0		¥0.00	0	https://mp.weixin.qq.com/s/53TKm0hrO_hC7VLLm1ksyg
28	2025年09月27日	已发表	AI应用开发实战：从0到0.8，构建一个高精度数据问答AI Agent的全流程复盘与思考	原创	1,417	23	205	10	8	1		¥0.00	1	https://mp.weixin.qq.com/s/b30wt5h7K-AXfXSZECh4fw
29	2025年09月21日	已发表	AI 裁员、程序员已死？别傻了，这才是“AI 编码”的残酷真相	原创	974	13	53	5	4	0		¥0.00	0	https://mp.weixin.qq.com/s/jbNTOSpQV_GvNA_1n6biaQ
30	2025年09月13日	已发表	AI 应用开发指南：一文带你快速入门 Prompt、RAG、Function Calling、MCP 与 Agent	原创	509	19	93	15	3	0		¥0.00	0	https://mp.weixin.qq.com/s/JJC2L1jTY-Vi0UM5m6eMig
31	2025年09月05日	已发表	不只是“看懂”CNN：从零开始构建你的网络设计直觉	原创、已修改	74	5	11	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/_XTc7ByBpfUWiK3Bv3H9Hg
32	2025年08月28日	已发表	目标检测超好用框架MMDetection保姆级教程（一）—— 框架安装并用自己的数据集训练测试	原创	310	7	35	7	0	0		¥0.00	0	https://mp.weixin.qq.com/s/ZZtW3iCeAkuIFxnOwvYebw
33	2025年08月16日	已发表	计算机相关专业你应该怎么学？	原创	659	16	91	7	1	1		¥0.00	0	https://mp.weixin.qq.com/s/W3qMpaGlRMOgpDerSbE2NQ
34	2025年08月12日	已发表	人工智能相关资讯哪里了解？关注这几个公众号！	原创	1,587	14	72	5	2	4		¥0.00	0	https://mp.weixin.qq.com/s/cE0RTyvKI5Ji9yWOX_NaZA
35	2025年08月11日	已删除	人工智能相关资讯哪里了解？关注这几个公众号！		6	0	1	0	0			¥0.00		已删除，无稳定链接
36	2025年08月06日	已发表	图像处理中卷积究竟是什么？	原创	6,355	122	944	67	2	0		¥0.00	1	https://mp.weixin.qq.com/s/2__Vp1UTIut-dCLwZZCmYw
37	2025年07月22日	已发表	计算机真正的人才的缺口是软件工程师！如何成为一名符合市场需求的软件成功师呢？	原创	6,298	36	628	14	3	5		¥0.00	0	https://mp.weixin.qq.com/s/z87BM4Ie5ONDwdcRJssn0Q
38	2025年07月19日	已发表	目标检测简述	原创	127	6	18	1	0	0		¥0.00	0	https://mp.weixin.qq.com/s/VK-BgBK9FfMIKYI-lIhgjA
39	2025年07月15日	已发表	还在跟风选专业？计算机职业规划指南，看完不迷茫	原创	110	3	12	1	3	0		¥0.00	0	https://mp.weixin.qq.com/s/l1gWogCAlXJDA1kt8RcVlg
40	2025年07月14日	已发表	408就业方向一览		208	4	7	0	0	0		¥0.00		https://mp.weixin.qq.com/s/PPkFbnEZc5w-O0Hmo7QfuA
41	2025年07月11日	已发表	还在只盯着计算机？这些专业也考408，但是分数要求会低很多！		120	1	5	0	1	0		¥0.00		https://mp.weixin.qq.com/s/ZS12JCY4VcsXo46L462N4A
42	2025年03月09日	已发表	【计算机考研机试终极指南】复试逆袭就靠这篇！附10天速成计划+练习题库	原创	128	5	10	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/9t-ShS3p2a1Tds8YI8SqOQ
43	2025年03月05日	已发表	考研复试逆袭指南：从自我介绍的底层逻辑到专属你的高光介绍模板	原创	75	2	7	2	0	0		¥0.00	0	https://mp.weixin.qq.com/s/R5QFfWZ8nDBIcwt7k7YKqA
44	2025年03月04日	已发表	【考研全解析】从择校到备考，英语差异、专业课秘籍与六阶段规划助你高效上岸	原创	22	6	2	2	0	0		¥0.00	0	https://mp.weixin.qq.com/s/wZg2wL6Gl-Bazdk5-588LA
45	2025年03月03日	已发表	复试占比50%！考研擦线党的“救命指南”：10天逆袭计划表+避坑清单	原创	53	5	7	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/ocrzKVxw_tmjxqRHqP77bw
46	2025年03月01日	已发表	血泪总结！考研复试14大夺命提问，答对这3类问题成功率翻倍	原创	50	4	6	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/jlu3Z1PGPKIOFSkMhcYh8Q
47	2025年02月28日	已发表	考研初试的十大误区，你踩雷了吗？	原创	10	3	2	2	0	0		¥0.00	0	https://mp.weixin.qq.com/s/AcDONObG31VDPKlefLbuvg
48	2025年02月27日	已发表	复试基础问题	原创	31	6	4	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/kQO3hzTE-wZHfgQrlVGtCQ
49	2025年02月26日	已发表	考研复试宝典——调剂实战篇	原创	121	7	7	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/XdlCx-FMiAe8rM80jzs9jw
50	2025年02月20日	已发表	一文全搞定！2025考研初试成绩查询：时间、入口、复核		25	4	2	0	0	0		¥0.00		https://mp.weixin.qq.com/s/NXy5vMgydd_KUF9DFzwG1A
51	2025年02月19日	已发表	考研人必看！必备网站及相关政策等超全备考内容大汇总	原创	39	5	6	1	0	7		¥0.00	0	https://mp.weixin.qq.com/s/eH6Le5bOYxQCcvPPaaX4hw
